confederation,stadium,city,hometeams,capacity,country,ioc,population,home_team_clean
UEFA,abax_stadium,peterborough,peterborough_utd,14319,england,ENG,55619400,peterborough_utd
UEFA,abbey_business_stadium,chaltenham,"chaltenham_town,_gloucester_city",7066,england,ENG,55619400,"chaltenham_town,_gloucester_city"
UEFA,abbey_stadium,cambridge,cambridge_united,9617,england,ENG,55619400,cambridge_united
UEFA,academy_stadium,manchester,manchester_city,7000,england,ENG,55619400,manchester_city
UEFA,adams_park,wycombe,wycombe_wanderers,10284,england,ENG,55619400,wycombe_wanderers
UEFA,aggborough,kidderminster,harriers,6238,england,ENG,55619400,harriers
UEFA,alexander_stadium,birmingham,-,12700,england,ENG,55619400,-
UEFA,alexandra_stadium,crewe,crewe_alexandra,10153,england,ENG,55619400,crewe_alexandra
UEFA,amex_stadium,brighton_&_hove,albion,30666,england,ENG,55619400,albion
UEFA,anfield,liverpool,liverpool,53394,england,ENG,55619400,liverpool
UEFA,ashton_gate,bristol,bristol_city,27699,england,ENG,55619400,bristol_city
UEFA,banks’s_stadium,walsall,walsall_fc,11300,england,ENG,55619400,walsall_fc
UEFA,bet365_stadium,stoke-on-trent,stoke_city,30089,england,ENG,55619400,stoke_city
UEFA,bloomfield_road,blackpool,blackpool_fc,16220,england,ENG,55619400,blackpool_fc
UEFA,blundell_park,grimsby,grimsby_town,9052,england,ENG,55619400,grimsby_town
UEFA,boleyn_ground,london,west_ham,35345,england,ENG,55619400,west_ham
UEFA,boundary_park,oldham,athletic,10638,england,ENG,55619400,athletic
UEFA,bramall_lane,sheffield,sheffield_united,32702,england,ENG,55619400,sheffield_united
UEFA,bristol_memorial_stadium,bristol,rovers,11917,england,ENG,55619400,rovers
UEFA,broadhurst_park,manchester,fc_united,4400,england,ENG,55619400,fc_united
UEFA,brunton_park,carlisle,united,16980,england,ENG,55619400,united
UEFA,carrow_road,norwich,norwich_city,27033,england,ENG,55619400,norwich_city
UEFA,checkatrade.com_stadium,crawley,crawley_town,6134,england,ENG,55619400,crawley_town
UEFA,city_ground,nottingham,nottingham_forest,30445,england,ENG,55619400,nottingham_forest
UEFA,colchester_community_stadium,colchester,colchester_united,10084,england,ENG,55619400,colchester_united
UEFA,county_ground,swindon,swindon_town_fc,15728,england,ENG,55619400,swindon_town_fc
UEFA,craven_cottage,london,fulham,25700,england,ENG,55619400,fulham
UEFA,darlington_arena,darlington,-,25000,england,ENG,55619400,-
UEFA,dcj_group_insurance_arena,matlock,matlock_town,2757,england,ENG,55619400,matlock_town
UEFA,deepdale_stadium,preston,preston,23404,england,ENG,55619400,preston
UEFA,dw_stadium,wigan,wigan,25138,england,ENG,55619400,wigan
UEFA,elland_road,leeds,leeds_united,39460,england,ENG,55619400,leeds_united
UEFA,emirates_stadium,london,arsenal,59867,england,ENG,55619400,arsenal
UEFA,etihad_stadium,manchester,manchester_city,55017,england,ENG,55619400,manchester_city
UEFA,ewen_fields,hyde,hyde_fc,4073,england,ENG,55619400,hyde_fc
UEFA,ewood_park,blackburn,blackburn_rovers,31154,england,ENG,55619400,blackburn_rovers
UEFA,fratton_park,portsmouth,portsmouth,20821,england,ENG,55619400,portsmouth
UEFA,gigg_lane,bury,bury_fc,11840,england,ENG,55619400,bury_fc
UEFA,glanford_park,scunthorpe,scunthorpe_united,9088,england,ENG,55619400,scunthorpe_united
UEFA,globe_arena,morecambe,morecambe_fc,6476,england,ENG,55619400,morecambe_fc
UEFA,goodison_park,liverpool,everton,39595,england,ENG,55619400,everton
UEFA,griffin_park,london,brentford_fc,12300,england,ENG,55619400,brentford_fc
UEFA,highbury_stadium,fleetwood,fleetwood_town,5094,england,ENG,55619400,fleetwood_town
UEFA,hillsborough,sheffield,sheffield_wednesday,39812,england,ENG,55619400,sheffield_wednesday
UEFA,home_park,plymouth,argyle,16388,england,ENG,55619400,argyle
UEFA,huish_park,yeovil,yeovil_town,9665,england,ENG,55619400,yeovil_town
UEFA,john_smith’s_stadium,huddersfield,huddersfield_town,24169,england,ENG,55619400,huddersfield_town
UEFA,kassam_stadium,oxford,oxford_united,12500,england,ENG,55619400,oxford_united
UEFA,kcom_stadium,hull,hull_city,24983,england,ENG,55619400,hull_city
UEFA,keepmoat_stadium,doncaster,rovers,15231,england,ENG,55619400,rovers
UEFA,kenilworth_road,luton,luton_town,10226,england,ENG,55619400,luton_town
UEFA,king_power_stadium,leicester,leicester_city,32273,england,ENG,55619400,leicester_city
UEFA,kingsmeadow,london,"kingstonian,_wimbledon",4850,england,ENG,55619400,"kingstonian,_wimbledon"
UEFA,loftus_road,london,qpr,18000,england,ENG,55619400,qpr
UEFA,london_stadium,london,west_ham,60000,england,ENG,55619400,west_ham
UEFA,macron_stadium,bolton,bolton_wanderers,28723,england,ENG,55619400,bolton_wanderers
UEFA,madejski_stadium,reading,reading,24161,england,ENG,55619400,reading
UEFA,matchroom_stadium,london,leyton_orient,9271,england,ENG,55619400,leyton_orient
UEFA,meadow_lane,nottingham,notts_county,20229,england,ENG,55619400,notts_county
UEFA,merseyrail_community_stadium,southport,southport_fc,6008,england,ENG,55619400,southport_fc
UEFA,mill_farm,medlar_with_wesham,afc_fylde,6000,england,ENG,55619400,afc_fylde
UEFA,molineux_stadium,wolverhampton,wolverhampton,32057,england,ENG,55619400,wolverhampton
UEFA,montgomery_waters_meadow,shrewsbury,shrewsbury_town,9875,england,ENG,55619400,shrewsbury_town
UEFA,moor_lane,salford,salford_city,3339,england,ENG,55619400,salford_city
UEFA,moss_rose,macclesfield,macclesfield_town,6355,england,ENG,55619400,macclesfield_town
UEFA,new_york_aesseal_stadium,rotherham,rotherham_united_fc,12021,england,ENG,55619400,rotherham_united_fc
UEFA,oakwell_stadium,barnsley,barnsley_fc,23009,england,ENG,55619400,barnsley_fc
UEFA,old_trafford,manchester,manchester_united,74994,england,ENG,55619400,manchester_united
UEFA,one_call_stadium,mansfield,mansfield_town,9186,england,ENG,55619400,mansfield_town
UEFA,phb_stadium,northfleet,ebbsfleet_united,5011,england,ENG,55619400,ebbsfleet_united
UEFA,pirelli_stadium,burton_upon_trent,burton_albion,6912,england,ENG,55619400,burton_albion
UEFA,plainmoor,torquay,torquay_united,6500,england,ENG,55619400,torquay_united
UEFA,portman_road,ipswich,ipswich_town,30311,england,ENG,55619400,ipswich_town
UEFA,prenton_park,birkenhead,tranmere,16587,england,ENG,55619400,tranmere
UEFA,pride_park_stadium,derby,derby,33597,england,ENG,55619400,derby
UEFA,priestfield_stadium,gillingham,gillingham_fc,11582,england,ENG,55619400,gillingham_fc
UEFA,princes_park,dartford,dartford_fc,4100,england,ENG,55619400,dartford_fc
